log_id,product_area,error_code,issue,resolution
KB-0001,Backup,ERR-BK101,Backup stuck at 0% and never progresses,"Restart the Vaultify desktop app and confirm the folder path has not changed. If it persists, clear the local cache via Settings > Diagnostics > Clear Cache."
KB-0002,Backup,ERR-BK204,Backup repeatedly reports insufficient storage although quota appears available,"Storage counters can lag up to 15 minutes. Wait 15 minutes and retry. If it still fails, sign out and sign back in to force a quota refresh."
KB-0003,Sync,ERR-SY110,Files remain in syncing state indefinitely on one device,"Pause Sync from the tray icon, wait 60 seconds, then resume to reset the sync worker."
KB-0004,Sync,ERR-SY150,Frequent conflicted copy files are being created,The same file is likely being edited offline on multiple devices. Avoid simultaneous offline edits and enable Sync only when online if available.
KB-0005,Sharing,ERR-SH220,New shared link reports that it has already expired,Check Settings > Share > Default Expiry. Reset an invalid or zero-day default expiry to a positive value and recreate the link.
KB-0006,Sharing,ERR-SH231,Recipient cannot open a password-protected shared file,"Confirm the password exactly, including case and accidental spaces. If it still fails, regenerate the share link."
KB-0007,Billing,ERR-BL301,Invoice displays an unexpected currency after plan upgrade,"Review workspace billing-region and invoice settings. If the displayed currency remains inconsistent, refresh billing information and contact Billing Support before payment."
KB-0008,Billing,ERR-BL310,Downgrade to Free is blocked because storage exceeds the limit,Reduce usage below 5GB before completing the downgrade. The 14-day grace period permits temporary overage but does not remove the Free-plan quota requirement.
KB-0009,Account,ERR-AC401,2FA QR code does not load,"Disable content blockers for the Security page, refresh the page, and retry. If unresolved, try a supported browser before contacting Support."
KB-0010,Account,ERR-AC410,Account locked after repeated failed 2FA attempts,"Wait 15 minutes after five failed attempts. Use a valid backup code if available, then retry authentication."
KB-0011,Security,ERR-SC501,SSO login loops back to the login page,Verify the SAML certificate and IdP metadata are current. Re-upload valid metadata under Settings > Security > SSO.
KB-0012,Security,ERR-SC510,CMEK-protected files inaccessible shortly after key rotation,Allow up to one hour for the new key to propagate before retiring the previous KMS key. Confirm the new key remains accessible to Vaultify.
KB-0013,Mobile App,ERR-MB601,Camera Upload does not trigger on Android,Confirm Camera Upload permission is enabled and disable battery optimization for Vaultify in Android system settings.
KB-0014,Mobile App,ERR-MB610,File marked Available offline is not accessible offline,Connect to Wi-Fi to allow the initial offline download to finish. Confirm the file appears in Settings > Mobile > Offline Files.
KB-0015,Integrations,ERR-IN701,Slack notifications do not arrive although the integration shows Connected,Reauthorize Slack under Settings > Integrations and verify the target channel and alert-routing configuration.
KB-0016,Integrations,ERR-IN710,Zapier trigger runs twice after one synchronized file edit,A synchronized edit can produce multiple events. Add a Zapier filter or deduplication step using file ID and event timestamp.
KB-0017,Notifications,ERR-NT801,Storage-capacity warning emails are not received,Check spam and junk folders and confirm the notification email under Settings > Notifications matches the intended address.
KB-0018,Admin Console,ERR-AD901,Audit-log export remains at Preparing export,Large exports can take several minutes. Narrow the date range and retry before escalating.
KB-0019,Backup,ERR-BK112,Backup History does not contain a file deleted two months ago,Check plan retention: Free retains 30 days and Pro 90 days. Recovery outside the applicable retention window is unavailable unless Enterprise retention preserved it.
KB-0020,Sync,ERR-SY133,Sync paused automatically without user action,Free local disk space. Sync may pause when available local storage becomes critically low; resume Sync after sufficient space is available.
KB-0021,Sharing,ERR-SH245,External sharing option is missing,An Enterprise administrator may have disabled external sharing. Check Admin Console sharing policies or ask a workspace admin.
KB-0022,Billing,ERR-BL322,Annual discount is not visible immediately after switching from monthly billing,Check the next invoice preview. Annual pricing adjustments may appear with the applicable billing cycle rather than as an immediate credit.
KB-0023,Account,ERR-AC420,Workspace Admin cannot transfer workspace ownership,Only the current Owner can transfer ownership through Admin Console > Users > Transfer Ownership.
KB-0024,Security,ERR-SC522,All devices were signed out after password reset,This is expected security behavior. Password changes invalidate existing sessions; sign in again on each device.
KB-0025,Mobile App,ERR-MB622,Mobile app crashes immediately after an update,"Clear the Vaultify app cache and relaunch. If the crash persists, update to the latest available build or reinstall the app."
KB-0026,Integrations,ERR-IN722,Google Workspace integration returns Permission denied,A Google Workspace administrator must approve the required Vaultify OAuth scopes in Google Admin Console > Security > API Controls.
KB-0027,Notifications,ERR-NT812,Duplicate notifications are generated for the same sync conflict,"Confirm notification channels and active devices. Temporarily close the mobile app and retest; if duplicates persist, collect Diagnostics logs and contact Support."
KB-0028,Admin Console,ERR-AD915,New-user invitation email never arrives,"Verify the recipient address and mail-domain filtering, then resend from Admin Console > Users > Pending Invites."
KB-0029,Backup,ERR-BK125,Backup folder shows red status but no visible error code,"Open Settings > Diagnostics > View Logs to identify the underlying error code, then search the support knowledge base using that code."
KB-0030,Sync,ERR-SY147,Large video files fail to sync while smaller files succeed,Enable Large File Sync beta under Settings > Sync > Beta Features for files over 10GB. v4.2 supports files up to 50GB.
KB-0031,API,ERR-AP101,API returns HTTP 429 Too Many Requests,"The default limit is 1,000 requests per hour per key. Implement exponential backoff or request a higher Enterprise limit."
KB-0032,API,ERR-AP110,API key stops working immediately after key rotation,Rotation invalidates the previous key immediately. Update every integration with the newly generated key.
KB-0033,Data Residency,ERR-DR201,Workspace needs to move existing data to another residency region,Region changes require a full support-assisted migration. Contact Vaultify Support to schedule the migration; self-service region changes are not supported.
KB-0034,Compliance,ERR-CP301,Auditor needs the latest SOC 2 or ISO 27001 documentation,Enterprise customers can request available compliance documents under Settings > Compliance > Documents or through their account manager.
KB-0035,Compliance,ERR-CP310,GDPR DSAR remains unresolved after the 30-day target,Escalate through the account manager or compliance support channel with the original request/ticket identifier.
KB-0036,Support,ERR-SP401,Severity-1 ticket has not received the Enterprise 1-hour target response,Confirm the ticket is correctly classified as Severity-1 and escalate through the dedicated Enterprise support channel.
KB-0037,Team Folders,ERR-TF501,Files associated with a removed user appear missing from a team folder,User removal alone does not delete team-folder files. Check Activity/audit logs for subsequent deletion or movement by an authorized user.
KB-0038,Team Folders,ERR-TF510,Editor cannot modify team-folder permissions,This is expected. Permission changes require Folder Manager or appropriate administrative access.
KB-0039,Storage Add-ons,ERR-SA601,Storage add-on appears as a separate charge and looks duplicated,Add-on storage is billed separately from the base plan. Compare invoice line-item SKUs and quantities before reporting a duplicate.
KB-0040,Storage Add-ons,ERR-SA610,Storage add-on cannot be removed,"Reduce usage so it fits within the quota that will remain after removal, then retry the add-on change."
KB-0041,Retention Policy,ERR-RP701,Files remain after the configured retention period expires,Check whether Litigation Hold is enabled. Litigation Hold overrides normal retention and deletion rules.
KB-0042,Retention Policy,ERR-RP710,File cannot be deleted even by a high-privilege user,Check Litigation Hold. A hold blocks deletion regardless of normal folder permissions until an authorized admin removes it.
KB-0043,Offboarding,ERR-OB801,Full workspace export does not contain expected audit logs,Ensure the full workspace export is initiated by an Enterprise Owner and that audit logs are included in the export scope.
KB-0044,Offboarding,ERR-OB810,User was removed before their personal files were transferred,"If the user is still available in Recently Removed, restore them temporarily, complete the file transfer, and then remove them again."
